cmpid, context, order, belong, p, op, condition, is_desirable, offsets, state
3623465573, 462915, 524289, 79, 65535, 511, 2, 42, 44, true, , OneByte
3623465573, 462915, 589825, 78, 65535, 511, 2, 41, 42, true, , OneByte
4144043383, 462915, 1, 249, 65535, 32, 2, 41, 75, false, , OneByte
4182711784, 63574, 1, 54, 65535, 288, 0, 45, 55, false, 31-32, Unsolvable
3623449733, 683756, 1, 55, 65535, 288, 2, 30, 30, true, , OneByte
3623455541, 683756, 1, 55, 65535, 34, 0, 2, 2, false, 3-4, Unsolvable
3623484944, 683756, 1, 55, 65535, 34, 2, 2, 2, true, , OneByte
3623466332, 683756, 1, 55, 65535, 288, 1, 0, 0, false, 3-4, Unsolvable
3623520683, 500724, 1, 55, 65535, 36, 2, 2, 2, false, , OneByte
3623515469, 500724, 1, 55, 65535, 33, 2, 2, 2, true, , OneByte
3623492699, 500724, 1, 55, 65535, 288, 2, 0, 0, true, , OneByte
2280546971, 418782, 1, 55, 65535, 288, 2, 1, 0, true, , OneByte
393205153, 454458, 1, 5638, 65535, 32, 0, 5f, 2e, false, 7-8, Unsolvable
2280487076, 538877, 1, 62, 65535, 288, 2, 4d, 4d, true, , OneByte
2280487076, 898368, 1, 69, 65535, 288, 2, 4d, 4d, true, , OneByte
2546232870, 756602, 1, 95, 65535, 288, 0, 67, 0, false, 3-4, Unsolvable
3623458478, 756602, 1, 77, 65535, 511, 2, 30, 43, true, , OneByte
3623458478, 756602, 65537, 83, 65535, 511, 2, 4d, 4e, true, , OneByte
3623458478, 756602, 131073, 80, 65535, 511, 2, 43, 4d, true, , OneByte
3623458478, 756602, 196609, 84, 65535, 511, 2, 4e, 58, true, , OneByte
3623458478, 756602, 262145, 84, 65535, 511, 2, 4e, 59, true, , OneByte
3623458478, 756602, 327681, 80, 65535, 511, 2, 43, 49, true, , OneByte
3623458478, 756602, 393217, 95, 65535, 511, 2, 67, 42, false, , OneByte
3623479664, 462915, 1, 78, 65535, 288, 2, 41, 41, true, , OneByte
2280487076, 756602, 1, 83, 65535, 288, 2, 4d, 4d, true, , OneByte
3623479334, 462915, 1, 85, 65535, 288, 2, 4f, 50, true, , OneByte
3623479103, 462915, 1, 87, 65535, 288, 2, 51, 52, true, , OneByte
3344215128, 462915, 1, 93, 65535, 288, 2, 1, 0, true, , OneByte
3284450585, 1063, 1, 97, 65535, 38, 2, 54, 60, false, , OneByte
4182714919, 1063, 1, 97, 65535, 288, 2, 54, 5f, true, , OneByte
3284480582, 1063, 1, 97, 65535, 38, 2, 54, 2f, true, , OneByte
2781629807, 1063, 1, 97, 65535, 40, 2, 54, 3a, true, , OneByte
4182708121, 109794, 1, 9157, 65535, 288, 0, 30, 6e, false, 121-122, Unsolvable
4182709540, 109794, 1, 9157, 65535, 38, 1, 30, 2f, false, 121-122, Unsolvable
3958194029, 109794, 1, 9157, 65535, 40, 1, 30, 3a, false, 121-122, Unsolvable
4182711916, 109794, 1, 9157, 65535, 38, 0, 0, ccccccc, false, 121-122, Unsolvable
3284647496, 109794, 1, 98, 65535, 38, 2, 54, 2f, true, , OneByte
3958194029, 109794, 2, 98, 65535, 40, 2, 54, 3a, true, , OneByte
4182706438, 285138, 1, 98, 65535, 40, 2, 0, 1, true, , OneByte
4182720034, 63574, 1, 155, 65535, 288, 2, 44, 42, false, , OneByte
4182721651, 285138, 1, 99, 65535, 40, 2, 1, 1, true, , OneByte
3958165319, 285138, 1, 2958, 65535, 16418, 0, 2, 0, true, 121-122, Unsolvable
4182709078, 285138, 1, 2958, 65535, 38, 0, 2, 9, false, 121-122, Unsolvable
4182695482, 147423, 1, 99, 65535, 288, 2, 0, 0, false, , OneByte
4182800488, 310253, 1, 2958, 65535, 288, 0, 2, 0, false, 121-122, Unsolvable
3958466873, 310253, 1, 99, 65535, 288, 2, 1, 1, false, , OneByte
4182715942, 63574, 1, 101, 65535, 511, 2, 43, 43, true, 31-32, OneByte
4182715942, 63574, 65537, 101, 65535, 511, 2, 43, 44, true, , OneByte
3958295603, 63574, 1, 101, 65535, 32, 2, 54, 49, false, , OneByte
4182715282, 63574, 1, 101, 65535, 36, 2, 23, 5, true, , OneByte
4182745510, 63574, 1, 155, 65535, 32, 2, 33, 43, true, , OneByte
4182716371, 63574, 1, 102, 65535, 36, 2, 24, 6, true, , OneByte
3284687294, 147423, 1, 103, 65535, 32, 2, 47, 54, true, , OneByte
3284760653, 147423, 1, 148, 65535, 32, 1, 47, 47, false, 31-32, Unsolvable
3284790650, 147423, 1, 148, 65535, 32, 2, 30, 0, true, , OneByte
4182716734, 147423, 1, 148, 65535, 511, 2, 30, 56, false, , OneByte
4182716734, 147423, 65537, 148, 65535, 511, 2, 30, 52, true, , OneByte
4182716734, 147423, 131073, 148, 65535, 511, 2, 30, 41, true, , OneByte
4182716734, 147423, 196609, 148, 65535, 511, 2, 30, 49, true, , OneByte
4182716734, 147423, 262145, 103, 65535, 511, 2, 54, 54, true, 32-33, OneByte
4182716734, 147423, 327681, 148, 65535, 511, 2, 30, 72, false, , OneByte
2280511727, 500724, 1, 150, 65535, 32, 2, 30, 0, true, , OneByte
2280548456, 500724, 1, 168, 65535, 32, 2, 49, 5f, true, , OneByte
43477518, 500724, 1, 168, 65535, 16418, 0, 49, 0, true, 32-33, Unsolvable
391297666, 500724, 1, 150, 65535, 32, 2, 4, 0, true, , OneByte
3623539625, 500724, 1, 161, 65535, 32, 2, 24, 45, true, , OneByte
3623533157, 500724, 1, 161, 65535, 32, 2, 24, 2e, true, , OneByte
4182695944, 886014, 1, 168, 65535, 288, 1, 4e, 4e, false, 31-32, Unsolvable
4182728482, 338178, 1, 168, 65535, 32, 2, 49, 72, true, , OneByte
